time_hour,pm25,pm25_out_corr,IR,date,smoke_flag,station,temp_c,dew_c,slp_hpa,vis_m,wind_dir_deg,wind_mps,event_id
2025-07-26 00:00:00+00:00,2.4,9.9,0.2424242424242424,2025-07-26,0,72505394728,28.3,21.7,1013.3,16093.0,260.0,1.5,2025_nyc_canadian_smoke
2025-07-26 01:00:00+00:00,2.3,9.8,0.23469387755102036,2025-07-26,0,72505394728,27.8,21.7,1013.5,16093.0,260.0,0.0,2025_nyc_canadian_smoke
2025-07-26 02:00:00+00:00,2.5,9.0,0.2777777777777778,2025-07-26,0,72505394728,27.8,21.7,1014.2,16093.0,260.0,2.1,2025_nyc_canadian_smoke
2025-07-26 03:00:00+00:00,2.2,7.7,0.28571428571428575,2025-07-26,0,72505394728,28.3,21.7,1014.4,16093.0,260.0,2.1,2025_nyc_canadian_smoke
2025-07-26 04:00:00+00:00,1.4,4.9,0.2857142857142857,2025-07-26,0,72505394728,27.8,21.1,1015.2,16093.0,260.0,0.0,2025_nyc_canadian_smoke
2025-07-26 05:00:00+00:00,0.6,4.3,0.13953488372093023,2025-07-26,0,72505394728,27.8,21.1,1015.2,16093.0,260.0,0.0,2025_nyc_canadian_smoke
2025-07-26 06:00:00+00:00,0.5,4.0,0.125,2025-07-26,0,72505394728,27.2,19.4,1015.6,16093.0,260.0,0.0,2025_nyc_canadian_smoke
2025-07-26 07:00:00+00:00,0.4,3.5,0.1142857142857143,2025-07-26,0,72505394728,26.7,19.4,1015.9,16093.0,40.0,2.6,2025_nyc_canadian_smoke
2025-07-26 08:00:00+00:00,0.3,3.8,0.07894736842105263,2025-07-26,0,72505394728,26.1,18.9,1016.2,16093.0,20.0,2.1,2025_nyc_canadian_smoke
2025-07-26 09:00:00+00:00,0.8,7.0,0.1142857142857143,2025-07-26,0,72505394728,25.6,18.9,1016.8,16093.0,50.0,3.6,2025_nyc_canadian_smoke
2025-07-26 10:00:00+00:00,1.6,11.0,0.14545454545454548,2025-07-26,0,72505394728,25.0,17.8,1017.7,16093.0,50.0,3.1,2025_nyc_canadian_smoke
2025-07-26 11:00:00+00:00,2.4,14.8,0.16216216216216214,2025-07-26,0,72505394728,25.0,16.1,1018.6,16093.0,50.0,3.6,2025_nyc_canadian_smoke
2025-07-26 12:00:00+00:00,3.5,17.7,0.1977401129943503,2025-07-26,1,72505394728,25.0,16.1,1019.3,14484.0,50.0,3.6,2025_nyc_canadian_smoke
2025-07-26 13:00:00+00:00,7.5,17.9,0.4189944134078213,2025-07-26,0,72505394728,26.0,17.0,1019.3,14484.0,50.0,3.6,2025_nyc_canadian_smoke
2025-07-26 14:00:00+00:00,9.4,20.1,0.46766169154228854,2025-07-26,0,72505394728,25.6,16.1,1020.1,12875.0,50.0,4.1,2025_nyc_canadian_smoke
2025-07-26 15:00:00+00:00,10.9,26.1,0.4176245210727969,2025-07-26,0,72505394728,26.7,15.6,1020.1,11265.0,70.0,4.1,2025_nyc_canadian_smoke
2025-07-26 16:00:00+00:00,10.1,37.2,0.271505376344086,2025-07-26,0,72505394728,28.3,15.0,1020.1,9656.0,70.0,2.6,2025_nyc_canadian_smoke
2025-07-26 17:00:00+00:00,10.0,39.0,0.2564102564102564,2025-07-26,0,72505394728,28.3,13.3,1019.9,8047.0,80.0,3.6,2025_nyc_canadian_smoke
2025-07-26 18:00:00+00:00,11.0,47.3,0.23255813953488375,2025-07-26,0,72505394728,28.9,13.9,1019.6,8047.0,80.0,2.1,2025_nyc_canadian_smoke
2025-07-26 19:00:00+00:00,12.5,46.7,0.26766595289079226,2025-07-26,0,72505394728,27.8,15.6,1019.5,6437.0,80.0,1.5,2025_nyc_canadian_smoke
2025-07-26 20:00:00+00:00,11.6,43.8,0.2648401826484018,2025-07-26,0,72505394728,26.7,15.0,1019.3,6437.0,80.0,2.6,2025_nyc_canadian_smoke
2025-07-26 21:00:00+00:00,10.8,37.9,0.2849604221635884,2025-07-26,0,72505394728,25.6,14.4,1019.2,6437.0,80.0,2.6,2025_nyc_canadian_smoke
2025-07-26 22:00:00+00:00,10.9,33.1,0.3293051359516616,2025-07-26,0,72505394728,25.6,14.4,1018.9,6437.0,80.0,1.5,2025_nyc_canadian_smoke
2025-07-26 23:00:00+00:00,14.4,28.1,0.5124555160142349,2025-07-26,0,72505394728,24.4,14.4,1019.0,6437.0,80.0,1.5,2025_nyc_canadian_smoke
2025-07-27 00:00:00+00:00,12.9,28.2,0.45744680851063835,2025-07-27,0,72505394728,24.4,12.8,1019.1,8047.0,,2.1,2025_nyc_canadian_smoke
2025-07-27 01:00:00+00:00,7.3,26.5,0.27547169811320754,2025-07-27,0,72505394728,23.9,13.9,1019.1,9656.0,,3.1,2025_nyc_canadian_smoke
2025-07-27 02:00:00+00:00,6.5,28.7,0.2264808362369338,2025-07-27,0,72505394728,23.9,14.4,1019.4,9656.0,,3.1,2025_nyc_canadian_smoke
2025-07-27 03:00:00+00:00,6.3,28.1,0.22419928825622773,2025-07-27,0,72505394728,23.9,14.4,1019.2,9656.0,,1.5,2025_nyc_canadian_smoke
2025-07-27 04:00:00+00:00,6.2,30.8,0.2012987012987013,2025-07-27,0,72505394728,23.9,15.0,1019.3,9656.0,,1.5,2025_nyc_canadian_smoke
2025-07-27 05:00:00+00:00,5.3,29.0,0.18275862068965518,2025-07-27,0,72505394728,23.9,15.0,1019.3,9656.0,,1.5,2025_nyc_canadian_smoke
2025-07-27 06:00:00+00:00,5.8,30.1,0.1926910299003322,2025-07-27,0,72505394728,23.3,15.6,1018.6,9656.0,,2.1,2025_nyc_canadian_smoke
2025-07-27 07:00:00+00:00,4.1,31.3,0.13099041533546324,2025-07-27,0,72505394728,23.3,16.1,1018.4,9656.0,,2.1,2025_nyc_canadian_smoke
2025-07-27 08:00:00+00:00,4.3,34.9,0.12320916905444126,2025-07-27,0,72505394728,23.3,15.6,1018.1,11265.0,,1.5,2025_nyc_canadian_smoke
2025-07-27 09:00:00+00:00,4.8,37.3,0.128686327077748,2025-07-27,0,72505394728,23.3,17.2,1017.9,9656.0,,2.6,2025_nyc_canadian_smoke
2025-07-27 10:00:00+00:00,5.0,38.3,0.13054830287206268,2025-07-27,0,72505394728,22.8,17.2,1017.9,9656.0,220.0,2.6,2025_nyc_canadian_smoke
2025-07-27 11:00:00+00:00,4.5,36.5,0.1232876712328767,2025-07-27,0,72505394728,22.8,17.2,1017.7,6437.0,220.0,2.6,2025_nyc_canadian_smoke
2025-07-27 12:00:00+00:00,3.9,38.4,0.1015625,2025-07-27,1,72505394728,23.3,17.8,1017.8,6437.0,220.0,1.5,2025_nyc_canadian_smoke
2025-07-27 13:00:00+00:00,4.3,40.0,0.1075,2025-07-27,0,72505394728,23.3,17.8,1017.6,6437.0,220.0,0.0,2025_nyc_canadian_smoke
2025-07-27 14:00:00+00:00,6.4,40.9,0.156479217603912,2025-07-27,0,72505394728,24.4,18.9,1017.1,6437.0,220.0,0.0,2025_nyc_canadian_smoke
2025-07-27 15:00:00+00:00,7.0,36.9,0.1897018970189702,2025-07-27,0,72505394728,24.4,20.0,1016.7,6437.0,220.0,1.5,2025_nyc_canadian_smoke
2025-07-27 16:00:00+00:00,6.7,33.5,0.2,2025-07-27,0,72505394728,25.0,20.6,1016.4,6437.0,220.0,1.5,2025_nyc_canadian_smoke
2025-07-27 17:00:00+00:00,5.2,33.1,0.15709969788519637,2025-07-27,0,72505394728,25.6,21.7,1015.9,8047.0,220.0,0.0,2025_nyc_canadian_smoke
2025-07-27 18:00:00+00:00,4.9,33.5,0.14626865671641792,2025-07-27,0,72505394728,26.1,22.2,1015.1,6437.0,220.0,1.5,2025_nyc_canadian_smoke
2025-07-27 19:00:00+00:00,4.5,31.4,0.14331210191082802,2025-07-27,0,72505394728,26.1,22.8,1014.4,6437.0,220.0,1.5,2025_nyc_canadian_smoke
2025-07-27 20:00:00+00:00,3.8,26.0,0.14615384615384613,2025-07-27,1,72505394728,28.3,22.8,1013.7,8047.0,240.0,2.6,2025_nyc_canadian_smoke
2025-07-27 21:00:00+00:00,3.2,22.5,0.14222222222222222,2025-07-27,0,72505394728,27.8,21.7,1012.8,9656.0,230.0,3.1,2025_nyc_canadian_smoke
2025-07-27 22:00:00+00:00,2.7,19.5,0.13846153846153847,2025-07-27,0,72505394728,28.3,21.7,1012.9,11265.0,230.0,0.0,2025_nyc_canadian_smoke
2025-07-27 23:00:00+00:00,3.1,17.1,0.18128654970760233,2025-07-27,0,72505394728,28.3,22.2,1013.0,11265.0,230.0,0.0,2025_nyc_canadian_smoke
2023-06-06 00:00:00+00:00,9.1,26.3,0.3460076045627376,2023-06-06,0,72505394728,21.7,7.2,1008.6,16093.0,,0.0,2023_nyc_canadian_smoke
2023-06-06 01:00:00+00:00,12.3,37.7,0.32625994694960214,2023-06-06,0,72505394728,22.2,4.4,1008.7,12875.0,,2.6,2023_nyc_canadian_smoke
2023-06-06 02:00:00+00:00,16.6,48.6,0.34156378600823045,2023-06-06,0,72505394728,21.1,4.4,1008.9,11265.0,,2.1,2023_nyc_canadian_smoke
2023-06-06 03:00:00+00:00,23.9,55.3,0.4321880650994575,2023-06-06,0,72505394728,20.6,3.3,1008.9,9656.0,,1.5,2023_nyc_canadian_smoke
2023-06-06 04:00:00+00:00,30.2,58.3,0.5180102915951973,2023-06-06,0,72505394728,19.4,3.9,1008.6,9656.0,,0.0,2023_nyc_canadian_smoke
2023-06-06 11:00:00+00:00,35.8,53.3,0.6716697936210131,2023-06-06,1,72505394728,15.6,5.6,1007.0,6437.0,,1.5,2023_nyc_canadian_smoke
2023-06-06 12:00:00+00:00,33.4,43.5,0.767816091954023,2023-06-06,1,72505394728,17.2,5.6,1006.6,6437.0,260.0,2.6,2023_nyc_canadian_smoke
2023-06-06 13:00:00+00:00,32.2,41.2,0.7815533980582524,2023-06-06,0,72505394728,17.8,6.1,1006.5,8047.0,270.0,3.1,2023_nyc_canadian_smoke
2023-06-06 14:00:00+00:00,31.0,41.6,0.7451923076923077,2023-06-06,0,72505394728,17.2,8.3,1006.1,8047.0,270.0,2.1,2023_nyc_canadian_smoke
2023-06-06 15:00:00+00:00,30.5,46.1,0.6616052060737527,2023-06-06,0,72505394728,20.0,8.3,1005.0,8047.0,230.0,1.5,2023_nyc_canadian_smoke
2023-06-06 16:00:00+00:00,32.4,55.1,0.588021778584392,2023-06-06,0,72505394728,22.8,9.4,1004.3,6437.0,230.0,0.0,2023_nyc_canadian_smoke
2023-06-06 17:00:00+00:00,36.2,56.0,0.6464285714285715,2023-06-06,0,72505394728,25.0,7.8,1003.2,6437.0,230.0,2.1,2023_nyc_canadian_smoke
2023-06-06 18:00:00+00:00,39.1,49.0,0.7979591836734694,2023-06-06,0,72505394728,24.4,7.2,1002.0,6437.0,310.0,2.6,2023_nyc_canadian_smoke
2023-06-06 19:00:00+00:00,41.5,50.1,0.8283433133732535,2023-06-06,0,72505394728,24.4,5.6,1001.7,6437.0,310.0,2.6,2023_nyc_canadian_smoke
2023-06-06 20:00:00+00:00,40.9,63.0,0.6492063492063492,2023-06-06,0,72505394728,25.6,6.1,1001.0,6437.0,310.0,2.1,2023_nyc_canadian_smoke
2023-06-06 21:00:00+00:00,51.9,56.7,0.9153439153439152,2023-06-06,1,72505394728,21.7,8.3,1001.7,6437.0,70.0,3.6,2023_nyc_canadian_smoke
2023-06-06 22:00:00+00:00,48.6,142.5,0.3410526315789474,2023-06-06,0,72505394728,21.7,8.9,1002.0,6437.0,70.0,0.0,2023_nyc_canadian_smoke
2023-06-06 23:00:00+00:00,36.7,136.8,0.2682748538011696,2023-06-06,0,72505394728,22.2,7.2,1002.2,4023.0,70.0,1.5,2023_nyc_canadian_smoke
2023-06-07 00:00:00+00:00,34.5,135.1,0.25536639526276833,2023-06-07,0,72505394728,21.1,5.0,1002.6,4023.0,300.0,3.6,2023_nyc_canadian_smoke
2023-06-07 01:00:00+00:00,34.3,123.4,0.2779578606158833,2023-06-07,0,72505394728,20.0,6.7,1003.4,4828.0,300.0,1.5,2023_nyc_canadian_smoke
2023-06-07 02:00:00+00:00,33.4,122.0,0.27377049180327867,2023-06-07,0,72505394728,19.4,7.2,1004.0,4828.0,300.0,2.6,2023_nyc_canadian_smoke
2023-06-07 03:00:00+00:00,32.3,120.8,0.2673841059602649,2023-06-07,0,72505394728,18.3,7.8,1004.0,4828.0,300.0,0.0,2023_nyc_canadian_smoke
2023-06-07 04:00:00+00:00,33.1,112.3,0.2947462154942119,2023-06-07,0,72505394728,17.8,7.2,1004.0,4828.0,300.0,1.5,2023_nyc_canadian_smoke
2023-06-07 11:00:00+00:00,18.3,71.3,0.25666199158485276,2023-06-07,1,72505394728,14.4,5.6,1003.7,4828.0,300.0,2.6,2023_nyc_canadian_smoke
2023-06-07 12:00:00+00:00,17.7,73.4,0.2411444141689373,2023-06-07,0,72505394728,15.0,6.7,1003.6,4828.0,300.0,2.1,2023_nyc_canadian_smoke
2023-06-07 13:00:00+00:00,17.9,69.0,0.25942028985507243,2023-06-07,0,72505394728,16.7,6.7,1003.7,4828.0,300.0,2.1,2023_nyc_canadian_smoke
2023-06-07 14:00:00+00:00,17.7,69.4,0.25504322766570603,2023-06-07,0,72505394728,17.8,6.7,1003.7,4828.0,310.0,4.1,2023_nyc_canadian_smoke
2023-06-07 15:00:00+00:00,27.6,104.6,0.26386233269598475,2023-06-07,0,72505394728,18.9,7.2,1003.3,4828.0,310.0,1.5,2023_nyc_canadian_smoke
2023-06-07 16:00:00+00:00,39.8,242.1,0.16439487814952497,2023-06-07,0,72505394728,20.0,6.1,1003.3,2816.0,310.0,1.5,2023_nyc_canadian_smoke
2023-06-07 17:00:00+00:00,54.8,293.6,0.1866485013623978,2023-06-07,0,72505394728,20.6,5.0,1002.9,1609.0,310.0,3.1,2023_nyc_canadian_smoke
2023-06-07 18:00:00+00:00,63.3,297.7,0.2126301645952301,2023-06-07,0,72505394728,18.9,2.8,1003.0,1207.0,310.0,2.6,2023_nyc_canadian_smoke
2023-06-07 19:00:00+00:00,63.5,247.7,0.25635849818328627,2023-06-07,1,72505394728,18.9,3.3,1003.0,1207.0,310.0,2.1,2023_nyc_canadian_smoke
2023-06-07 20:00:00+00:00,59.0,179.0,0.329608938547486,2023-06-07,0,72505394728,18.9,3.3,1003.0,2012.0,310.0,3.1,2023_nyc_canadian_smoke
2023-06-07 21:00:00+00:00,55.8,184.0,0.30326086956521736,2023-06-07,0,72505394728,19.4,3.9,1003.0,2414.0,310.0,2.6,2023_nyc_canadian_smoke
2023-06-07 22:00:00+00:00,59.6,204.6,0.2913000977517107,2023-06-07,0,72505394728,19.4,4.4,1003.4,2012.0,310.0,2.1,2023_nyc_canadian_smoke
2023-06-07 23:00:00+00:00,54.2,209.7,0.25846447305674775,2023-06-07,0,72505394728,19.4,4.4,1003.6,2012.0,310.0,2.1,2023_nyc_canadian_smoke
2023-06-08 00:00:00+00:00,55.6,210.6,0.2640075973409307,2023-06-08,0,72505394728,18.9,4.4,1004.0,2012.0,280.0,2.6,2023_nyc_canadian_smoke
2023-06-08 01:00:00+00:00,67.1,210.1,0.3193717277486911,2023-06-08,0,72505394728,17.8,4.4,1004.4,3219.0,280.0,1.5,2023_nyc_canadian_smoke
2023-06-08 02:00:00+00:00,75.0,197.9,0.37897928246589185,2023-06-08,0,72505394728,17.2,2.8,1004.5,3219.0,270.0,1.5,2023_nyc_canadian_smoke
2023-06-08 03:00:00+00:00,77.8,178.4,0.43609865470852016,2023-06-08,0,72505394728,16.7,2.8,1004.9,3219.0,270.0,1.5,2023_nyc_canadian_smoke
2023-06-08 04:00:00+00:00,74.6,165.0,0.4521212121212121,2023-06-08,0,72505394728,16.1,2.2,1005.3,4023.0,330.0,2.1,2023_nyc_canadian_smoke
2023-06-08 11:00:00+00:00,47.1,148.4,0.3173854447439353,2023-06-08,1,72505394728,13.9,6.1,1006.1,2816.0,330.0,1.5,2023_nyc_canadian_smoke
2023-06-08 12:00:00+00:00,37.8,127.9,0.2955433932759968,2023-06-08,0,72505394728,14.4,6.7,1006.1,2816.0,330.0,0.0,2023_nyc_canadian_smoke
2023-06-08 13:00:00+00:00,20.0,97.2,0.205761316872428,2023-06-08,0,72505394728,15.6,6.7,1006.6,3219.0,330.0,1.5,2023_nyc_canadian_smoke
2023-06-08 14:00:00+00:00,13.8,72.3,0.19087136929460582,2023-06-08,1,72505394728,17.2,6.7,1006.6,4828.0,270.0,2.1,2023_nyc_canadian_smoke
2023-06-08 15:00:00+00:00,12.7,67.1,0.18926974664679583,2023-06-08,0,72505394728,18.3,6.7,1006.1,4828.0,10.0,3.1,2023_nyc_canadian_smoke
2023-06-08 16:00:00+00:00,13.9,60.3,0.23051409618573798,2023-06-08,0,72505394728,20.6,6.7,1005.9,6437.0,10.0,1.5,2023_nyc_canadian_smoke
2023-06-08 17:00:00+00:00,11.3,42.2,0.2677725118483412,2023-06-08,0,72505394728,21.7,6.7,1005.4,6437.0,10.0,2.1,2023_nyc_canadian_smoke
2023-06-08 18:00:00+00:00,6.4,44.4,0.14414414414414414,2023-06-08,0,72505394728,21.1,6.1,1004.9,9656.0,10.0,2.6,2023_nyc_canadian_smoke
2023-06-08 19:00:00+00:00,6.1,46.2,0.13203463203463203,2023-06-08,0,72505394728,21.1,5.6,1005.2,8047.0,10.0,1.5,2023_nyc_canadian_smoke
2023-06-08 20:00:00+00:00,8.0,54.1,0.14787430683918668,2023-06-08,1,72505394728,20.0,7.8,1005.6,6437.0,10.0,2.6,2023_nyc_canadian_smoke
2023-06-08 21:00:00+00:00,8.3,47.2,0.17584745762711865,2023-06-08,0,72505394728,19.4,6.7,1005.6,6437.0,10.0,1.5,2023_nyc_canadian_smoke
2023-06-08 22:00:00+00:00,6.1,51.5,0.11844660194174757,2023-06-08,0,72505394728,19.4,7.8,1005.6,6437.0,10.0,2.1,2023_nyc_canadian_smoke
2023-06-08 23:00:00+00:00,6.2,48.7,0.1273100616016427,2023-06-08,0,72505394728,18.9,7.8,1005.9,6437.0,10.0,0.0,2023_nyc_canadian_smoke
2020-09-11 00:00:00+00:00,18.2,215.0,0.08465116279069768,2020-09-11,0,72698024229,24.4,6.1,1013.2,1600.0,180.0,3.6,2020_portland_megafire
2020-09-11 01:00:00+00:00,24.3,211.6,0.11483931947069943,2020-09-11,0,72698024229,23.3,5.0,1013.5,1609.0,160.0,4.1,2020_portland_megafire
2020-09-11 02:00:00+00:00,28.8,184.8,0.15584415584415584,2020-09-11,0,72698024229,21.7,4.4,1014.1,1609.0,150.0,3.6,2020_portland_megafire
2020-09-11 03:00:00+00:00,38.5,159.9,0.2407754846779237,2020-09-11,0,72698024229,21.1,3.9,1014.7,2414.0,130.0,3.1,2020_portland_megafire
2020-09-11 04:00:00+00:00,51.9,170.5,0.3043988269794721,2020-09-11,0,72698024229,20.0,4.4,1015.6,2414.0,130.0,3.1,2020_portland_megafire
2020-09-11 05:00:00+00:00,54.4,208.0,0.26153846153846155,2020-09-11,0,72698024229,19.4,5.0,1016.3,2414.0,140.0,2.6,2020_portland_megafire
2020-09-11 06:00:00+00:00,48.0,223.5,0.21476510067114093,2020-09-11,0,72698024229,18.9,7.2,1016.8,2400.0,170.0,4.1,2020_portland_megafire
2020-09-11 07:00:00+00:00,66.9,210.5,0.31781472684085516,2020-09-11,0,72698024229,18.3,7.2,1016.8,2012.0,150.0,3.6,2020_portland_megafire
2020-09-11 08:00:00+00:00,83.6,184.1,0.4541010320478001,2020-09-11,0,72698024229,18.3,7.2,1016.8,2012.0,150.0,3.6,2020_portland_megafire
2020-09-11 09:00:00+00:00,93.7,180.5,0.5191135734072022,2020-09-11,0,72698024229,16.7,7.8,1017.7,2012.0,150.0,0.0,2020_portland_megafire
2020-09-11 10:00:00+00:00,103.3,174.1,0.5933371625502585,2020-09-11,0,72698024229,15.0,8.3,1018.1,2012.0,260.0,1.5,2020_portland_megafire
2020-09-11 11:00:00+00:00,110.3,177.3,0.6221094190637337,2020-09-11,0,72698024229,14.4,10.0,1018.2,2414.0,260.0,1.5,2020_portland_megafire
2020-09-11 12:00:00+00:00,115.4,167.8,0.6877234803337307,2020-09-11,0,72698024229,13.0,11.0,1018.3,2400.0,250.0,2.1,2020_portland_megafire
2020-09-11 13:00:00+00:00,118.3,161.0,0.7347826086956522,2020-09-11,0,72698024229,13.3,11.1,1018.3,3219.0,250.0,0.0,2020_portland_megafire
2020-09-11 14:00:00+00:00,117.3,161.7,0.725417439703154,2020-09-11,0,72698024229,13.3,11.1,1018.5,3219.0,250.0,1.5,2020_portland_megafire
2020-09-11 15:00:00+00:00,112.1,167.9,0.6676593210244193,2020-09-11,0,72698024229,12.8,11.1,1018.8,2414.0,270.0,1.5,2020_portland_megafire
2020-09-11 16:00:00+00:00,109.6,164.6,0.6658566221142163,2020-09-11,1,72698024229,13.9,11.7,1019.0,2414.0,260.0,1.5,2020_portland_megafire
2020-09-11 17:00:00+00:00,104.6,166.1,0.6297411198073449,2020-09-11,0,72698024229,14.4,11.7,1019.1,2414.0,250.0,2.1,2020_portland_megafire
2020-09-11 18:00:00+00:00,100.8,174.6,0.5773195876288659,2020-09-11,0,72698024229,15.0,12.2,1018.9,2400.0,250.0,1.5,2020_portland_megafire
2020-09-11 19:00:00+00:00,96.8,184.3,0.5252306022788931,2020-09-11,0,72698024229,15.6,11.7,1018.7,2414.0,290.0,1.5,2020_portland_megafire
2020-09-11 20:00:00+00:00,93.9,188.0,0.499468085106383,2020-09-11,0,72698024229,16.1,11.1,1018.1,2414.0,270.0,1.5,2020_portland_megafire
2020-09-11 21:00:00+00:00,91.8,191.6,0.4791231732776618,2020-09-11,1,72698024229,16.7,10.6,1017.7,2012.0,260.0,1.5,2020_portland_megafire
2020-09-11 22:00:00+00:00,88.7,196.7,0.45094051855617695,2020-09-11,0,72698024229,17.2,10.6,1017.3,1609.0,280.0,2.1,2020_portland_megafire
2020-09-11 23:00:00+00:00,85.6,209.3,0.40898232202580026,2020-09-11,0,72698024229,17.8,11.1,1016.9,1609.0,270.0,2.1,2020_portland_megafire
2020-09-12 00:00:00+00:00,82.6,217.7,0.37942122186495175,2020-09-12,0,72698024229,17.8,11.1,1016.6,1200.0,280.0,1.5,2020_portland_megafire
2020-09-12 01:00:00+00:00,81.0,213.5,0.3793911007025761,2020-09-12,0,72698024229,17.8,11.1,1016.4,1207.0,280.0,1.5,2020_portland_megafire
2020-09-12 02:00:00+00:00,82.4,210.7,0.391077361177029,2020-09-12,0,72698024229,16.7,10.6,1016.4,1207.0,280.0,0.0,2020_portland_megafire
2020-09-12 03:00:00+00:00,85.1,208.7,0.40776233828461905,2020-09-12,0,72698024229,15.0,11.1,1016.4,2414.0,280.0,0.0,2020_portland_megafire
2020-09-12 04:00:00+00:00,93.4,209.3,0.4462494027711419,2020-09-12,0,72698024229,14.4,11.1,1017.2,2414.0,280.0,0.0,2020_portland_megafire
2020-09-12 05:00:00+00:00,103.7,210.5,0.49263657957244655,2020-09-12,0,72698024229,13.9,11.1,1017.2,2414.0,270.0,1.5,2020_portland_megafire
2020-09-12 06:00:00+00:00,111.1,214.9,0.5169846440204746,2020-09-12,0,72698024229,13.0,11.0,1017.1,2400.0,270.0,0.0,2020_portland_megafire
2020-09-12 07:00:00+00:00,115.9,211.7,0.5474728389230044,2020-09-12,0,72698024229,12.8,10.6,1017.2,2414.0,270.0,1.5,2020_portland_megafire
2020-09-12 08:00:00+00:00,119.9,214.0,0.5602803738317758,2020-09-12,0,72698024229,12.8,10.6,1017.2,2414.0,270.0,1.5,2020_portland_megafire
2020-09-12 09:00:00+00:00,122.2,210.5,0.5805225653206652,2020-09-12,0,72698024229,12.2,10.6,1016.9,2414.0,250.0,1.5,2020_portland_megafire
2020-09-12 10:00:00+00:00,123.1,214.5,0.5738927738927738,2020-09-12,0,72698024229,12.2,10.6,1016.9,2414.0,280.0,1.5,2020_portland_megafire
2020-09-12 11:00:00+00:00,123.2,207.4,0.5940212150433944,2020-09-12,1,72698024229,11.7,10.6,1016.6,2414.0,250.0,2.1,2020_portland_megafire
2020-09-12 12:00:00+00:00,122.5,199.1,0.6152687091913611,2020-09-12,0,72698024229,12.2,11.7,1016.6,400.0,250.0,0.0,2020_portland_megafire
2020-09-12 13:00:00+00:00,121.6,191.3,0.6356508102456874,2020-09-12,0,72698024229,12.2,11.1,1016.5,402.0,300.0,1.5,2020_portland_megafire
2020-09-12 14:00:00+00:00,119.8,187.6,0.6385927505330491,2020-09-12,0,72698024229,11.7,10.6,1016.5,1207.0,310.0,2.1,2020_portland_megafire
2020-09-12 15:00:00+00:00,117.2,180.6,0.6489479512735327,2020-09-12,0,72698024229,11.7,11.1,1016.5,402.0,320.0,1.5,2020_portland_megafire
2020-09-12 16:00:00+00:00,113.2,178.8,0.6331096196868009,2020-09-12,0,72698024229,12.2,11.1,1016.9,402.0,320.0,0.0,2020_portland_megafire
